Student_ID,Hours_Studied,Attendance_Percentage,Previous_Score,Final_Score
S001,4,85,70,72
S002,9,95,88,90
S003,2,70,50,55
S004,10,98,92,95
S005,5,80,65,68
S006,8,92,85,88
S007,3,75,60,62
S008,11,99,95,98
S009,6,88,75,78
S010,7,90,80,83
S011,1,60,40,45
S012,12,100,98,99
S013,4,82,68,70
S014,9,94,87,89
S015,2,72,55,58
S016,8,91,84,86
S017,5,81,66,69
S018,10,97,91,94
S019,3,76,62,65
S020,7,89,81,82
S021,6,85,74,76
S022,8,90,82,84
S023,4,80,69,71
S024,11,98,94,96
S025,2,70,52,54
S026,9,95,89,91
S027,5,82,67,68
S028,12,100,97,99
S029,1,65,42,44
S030,10,96,90,92
